Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle,"","branch","","False","","","","High-level vehicle data.","","",""
Vehicle.VersionVSS,"","branch","","False","","","","Supported Version of VSS","","",""
Vehicle.VersionVSS.Major,"","attribute","uint32","False","","","","Supported Version of VSS - Major version","","","",[]
Vehicle.VersionVSS.Minor,"","attribute","uint32","False","","","","Supported Version of VSS - Minor version","","","",[]
Vehicle.VersionVSS.Patch,"","attribute","uint32","False","","","","Supported Version of VSS - Patch version","","","",[]
Vehicle.VersionVSS.Label,"","attribute","string","False","","","","Label to further describe the version","","","",[]
Vehicle.VehicleIdentification,"","branch","","False","","","","Attributes that identify a vehicle","","",""
Vehicle.VehicleIdentification.VIN,"","attribute","string","False","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779","","","",[]
Vehicle.VehicleIdentification.WMI,"","attribute","string","False","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780","","","",[]
Vehicle.VehicleIdentification.Brand,"","attribute","string","False","","","","Vehicle brand or manufacturer","","","",[]
Vehicle.VehicleIdentification.Model,"","attribute","string","False","","","","Vehicle model","","","",[]
Vehicle.VehicleIdentification.Year,"","attribute","uint16","False","","","","Model year of the vehicle","","","",[]
Vehicle.VehicleIdentification.ACRISSCode,"","attribute","string","False","","","","The ACRISS Car Classification Code is a code used by many car rental companies.","","","",[]
Vehicle.VehicleIdentification.bodyType,"","attribute","string","False","","","","Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","","","",[]
Vehicle.VehicleIdentification.dateVehicleFirstRegistered,"","attribute","string","False","","","","The date of the first registration of the vehicle with the respective public authorities.","","","",[]
Vehicle.VehicleIdentification.meetsEmissionStandard,"","attribute","string","False","","","","Indicates that the vehicle meets the respective emission standard.","","","",[]
Vehicle.VehicleIdentification.productionDate,"","attribute","string","False","","","","The date of production of the item, e.g. vehicle.","","","",[]
Vehicle.VehicleIdentification.purchaseDate,"","attribute","string","False","","","","The date the item e.g. vehicle was purchased by the current owner.","","","",[]
Vehicle.VehicleIdentification.vehicleModelDate,"","attribute","string","False","","","","The release date of a vehicle model (often used to differentiate versions of the same make and model).","","","",[]
Vehicle.VehicleIdentification.vehicleConfiguration,"","attribute","string","False","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","",[]
